agency_code,pct_ACT WorkKeys_ALL_PART_DET,pct_ACT WorkKeys_AM7_PART_DET,pct_ACT WorkKeys_AS7_PART_DET,pct_ACT WorkKeys_BL7_PART_DET,pct_ACT WorkKeys_EDS_PART_DET,pct_ACT WorkKeys_ELS_PART_DET,pct_ACT WorkKeys_HI7_PART_DET,pct_ACT WorkKeys_MU7_PART_DET,pct_ACT WorkKeys_SWD_PART_DET,pct_ACT WorkKeys_WH7_PART_DET,pct_Biology_ALL_PART_DET,pct_Biology_AM7_PART_DET,pct_Biology_AS7_PART_DET,pct_Biology_BL7_PART_DET,pct_Biology_EDS_PART_DET,pct_Biology_ELS_PART_DET,pct_Biology_HI7_PART_DET,pct_Biology_MU7_PART_DET,pct_Biology_SWD_PART_DET,pct_Biology_WH7_PART_DET,pct_English II_ALL_PART_DET,pct_English II_AM7_PART_DET,pct_English II_AS7_PART_DET,pct_English II_BL7_PART_DET,pct_English II_EDS_PART_DET,pct_English II_ELS_PART_DET,pct_English II_HI7_PART_DET,pct_English II_MU7_PART_DET,pct_English II_SWD_PART_DET,pct_English II_WH7_PART_DET,pct_High School Math_ALL_PART_DET,pct_High School Math_AM7_PART_DET,pct_High School Math_AS7_PART_DET,pct_High School Math_BL7_PART_DET,pct_High School Math_EDS_PART_DET,pct_High School Math_ELS_PART_DET,pct_High School Math_HI7_PART_DET,pct_High School Math_MU7_PART_DET,pct_High School Math_SWD_PART_DET,pct_High School Math_WH7_PART_DET,pct_Math Grades 3-8_ALL_PART_DET,pct_Math Grades 3-8_AM7_PART_DET,pct_Math Grades 3-8_AS7_PART_DET,pct_Math Grades 3-8_BL7_PART_DET,pct_Math Grades 3-8_EDS_PART_DET,pct_Math Grades 3-8_ELS_PART_DET,pct_Math Grades 3-8_HI7_PART_DET,pct_Math Grades 3-8_MU7_PART_DET,pct_Math Grades 3-8_SWD_PART_DET,pct_Math Grades 3-8_WH7_PART_DET,pct_Reading Grades 3-8_ALL_PART_DET,pct_Reading Grades 3-8_AM7_PART_DET,pct_Reading Grades 3-8_AS7_PART_DET,pct_Reading Grades 3-8_BL7_PART_DET,pct_Reading Grades 3-8_EDS_PART_DET,pct_Reading Grades 3-8_ELS_PART_DET,pct_Reading Grades 3-8_HI7_PART_DET,pct_Reading Grades 3-8_MU7_PART_DET,pct_Reading Grades 3-8_SWD_PART_DET,pct_Reading Grades 3-8_WH7_PART_DET,pct_Science Grades 5&8_ALL_PART_DET,pct_Science Grades 5&8_AM7_PART_DET,pct_Science Grades 5&8_AS7_PART_DET,pct_Science Grades 5&8_BL7_PART_DET,pct_Science Grades 5&8_EDS_PART_DET,pct_Science Grades 5&8_ELS_PART_DET,pct_Science Grades 5&8_HI7_PART_DET,pct_Science Grades 5&8_MU7_PART_DET,pct_Science Grades 5&8_SWD_PART_DET,pct_Science Grades 5&8_WH7_PART_DET,pct_The ACT_ALL_PART_DET,pct_The ACT_AM7_PART_DET,pct_The ACT_AS7_PART_DET,pct_The ACT_BL7_PART_DET,pct_The ACT_EDS_PART_DET,pct_The ACT_ELS_PART_DET,pct_The ACT_HI7_PART_DET,pct_The ACT_MU7_PART_DET,pct_The ACT_SWD_PART_DET,pct_The ACT_WH7_PART_DET
100307,,,,,,,,,,,95.0,,,,95.0,,,,,95.0,95.0,,,,95.0,,,,,95.0,95.0,,,,95.0,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,95.0,,,,,95.0
100309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,95.0,95.0,,,,95.0,95.0,,,,,,,,,,
100310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,,95.0,,,,,95.0,,,,,,,,,,
100316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,,,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,,,95.0,95.0,,95.0,,95.0,95.0,,,,,,,,,,
100320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,,,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,,,,95.0,,,,,95.0,,,,,,,,,,
100326,95.0,,,,95.0,,,,,95.0,95.0,,,95.0,95.0,,95.0,,95.0,95.0,95.0,,,95.0,95.0,,95.0,,95.0,95.0,95.0,,,95.0,95.0,,95.0,,95.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,93.0,94.0,,95.0,,91.0,95.0
100332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,95.0,95.0,,95.0,,,95.0,,,,,,,,,,
100334,95.0,,,,95.0,,,,,95.0,95.0,,,,95.0,,,,,95.0,95.0,,,,95.0,,,,95.0,95.0,95.0,,,,95.0,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,,,,92.0,,,,,94.0
100335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,,95.0,95.0,95.0,95.0,95.0,,,95.0,95.0,,95.0,95.0,95.0,95.0,95.0,,,,95.0,,,,,95.0,,,,,,,,,,
100336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,95.0,,,,95.0,95.0,95.0,,,,95.0,,,,95.0,95.0,95.0,,,,95.0,,,,,95.0,,,,,,,,,,
100338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,,95.0,,,,95.0,95.0,,,,,,,,,,
100339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,,95.0,,95.0,95.0,95.0,,,95.0,95.0,,95.0,,95.0,95.0,95.0,,,,95.0,,,,,95.0,,,,,,,,,,
100340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,,95.0,,,,,95.0,,,,,,,,,,
100342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,,,,95.0,95.0,95.0,,,95.0,95.0,,,,95.0,95.0,95.0,,,,95.0,,,,,95.0,,,,,,,,,,
100344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,,95.0,,,,,95.0,,,,,,,,,,
100348,95.0,,,,93.0,,,,,95.0,95.0,,,95.0,95.0,,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,95.0,95.0,95.0,,,95.0,95.0,,95.0,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,,95.0,,91.0,95.0
10303,,,,,,,,,,,95.0,,,,,,,,,,95.0,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,
10304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,,,95.0,95.0,,,95.0,95.0,95.0,95.0,,,95.0,95.0,,,,95.0,,,,,95.0,,,,,,,,,,
10308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,95.0,95.0,,,,95.0,,,,,95.0,,,,,,,,,,
10310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,95.0,95.0,95.0,95.0,,95.0,,,,,,,,,,,
10312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,,95.0,,,,,95.0,,,,,,,,,,
10320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,,,,,95.0,95.0,,,95.0,95.0,,,,,95.0,95.0,,,,,,,,,95.0,,,,,,,,,,
10324,95.0,,,,,,,,,95.0,94.0,,,95.0,90.0,,88.0,,84.0,95.0,95.0,,,95.0,95.0,,95.0,,88.0,95.0,95.0,,,95.0,95.0,,95.0,,92.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,94.0,,95.0,,95.0,95.0
10326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,95.0,95.0,95.0,95.0,,,,,,,,,,,,,
10328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,95.0,,,,95.0,95.0,95.0,,,,95.0,,,,95.0,95.0,95.0,,,,,,,,,95.0,,,,,,,,,,
10340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,,,95.0,95.0,,,95.0,95.0,95.0,95.0,,,95.0,95.0,,,,95.0,,,,,95.0,,,,,,,,,,
10346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,95.0,95.0,95.0,,,95.0,95.0,,,,95.0,95.0,95.0,,,95.0,95.0,,,,95.0,,,,,95.0,,,,,,,,,,
10347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,,95.0,,,,,95.0,,,,,,,,,,
10348,75.0,,,,79.0,,75.0,,,,95.0,,,93.0,95.0,,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,92.0,95.0,95.0,,,93.0,95.0,,95.0,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,86.0,86.0,,88.0,,80.0,87.0
10350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,,,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,,,,,,,,,,
10351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,95.0,95.0,,,,,,,,,,,,,,,
10353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,,,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,,,95.0,95.0,,95.0,,95.0,95.0,,,,,,,,,,
10354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,,,95.0,95.0,,,95.0,95.0,95.0,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,,,,,,,,,,,
10357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,,95.0,95.0,95.0,,,,,,,,,,,,,
10358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,95.0,95.0,,95.0,,,,,,,,,,,,,
10360,95.0,,,95.0,95.0,,95.0,,,,95.0,,,95.0,95.0,95.0,95.0,,95.0,,95.0,,,95.0,95.0,86.0,94.0,,95.0,,95.0,,,95.0,95.0,93.0,95.0,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,,95.0,
10362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,95.0,95.0,,,,95.0,,,,,95.0,,,,,,,,,,
10364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,,95.0,,,,,,,,,,,,,,,
10372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,,95.0,,95.0,95.0,95.0,,,95.0,95.0,,95.0,,95.0,95.0,95.0,,,,95.0,,,,,,,,,,,,,,,
10374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,,,,95.0,,,95.0,95.0,95.0,95.0,,,,95.0,,,,95.0,95.0,95.0,,,,,,,,,,,,,
10378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,,,,91.0,,,,95.0,,89.0,,,,88.0,,,,92.0,,,,,,,,,,,,,,,,,,,,,
10380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,,,95.0,95.0,,,95.0,95.0,95.0,95.0,,,95.0,95.0,,,,95.0,95.0,95.0,,,,,,,,,,,,,
10384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,,95.0,95.0,95.0,95.0,95.0,,,95.0,95.0,,95.0,95.0,95.0,95.0,95.0,,,95.0,95.0,,,,,95.0,,,,,,,,,,
10388,95.0,,,,95.0,,,,,95.0,95.0,,,,95.0,,95.0,,95.0,95.0,95.0,,,,95.0,,95.0,,,95.0,95.0,,,,95.0,,95.0,,95.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,93.0,,95.0,,90.0,94.0
10390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,,95.0,,,,,95.0,,,,,,,,,,
10392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,95.0,,,,,95.0,95.0,,,,95.0,,,,,95.0,95.0,,,,95.0,,,,,95.0,,,,,,,,,,
10394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,,,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,,,95.0,95.0,,95.0,,,95.0,,,,,,,,,,
10396,95.0,,,95.0,95.0,,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,91.0,95.0,95.0,,,95.0,95.0,,95.0,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,,,94.0,93.0,,95.0,,,92.0
10400,95.0,,,,,,,,,95.0,95.0,,,95.0,95.0,,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,94.0,,95.0,,,95.0
10403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,,,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,,,,95.0,,95.0,,,95.0,,,,,,,,,,
10406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,,,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,,,95.0,95.0,,95.0,,,95.0,,,,,,,,,,
10A000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,,95.0,95.0,95.0,95.0,95.0,,,95.0,95.0,,95.0,95.0,95.0,95.0,95.0,,,,95.0,,,,,95.0,,,,,,,,,,
10B000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,95.0,95.0,,,,,,,,,95.0,95.0,,,,,,,,,95.0,,,,,,,,,,
110303,,,,,,,,,,,94.0,,,,94.0,,,,,,95.0,,,,,,,,,,95.0,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,84.0,,,,,
110304,95.0,,,,95.0,,,,,95.0,95.0,,,95.0,95.0,,,,95.0,95.0,95.0,,,,95.0,,,,95.0,95.0,95.0,,,95.0,95.0,,,,95.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,,,,95.0,95.0
110306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,,,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,,,,95.0,,,,95.0,95.0,,,,,,,,,,
110308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,95.0,,,,,95.0,95.0,,,,95.0,,,,,95.0,,,,,,,,,,,,,,,,,,,,
110318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,95.0,,,,95.0,95.0,95.0,,,,95.0,,,,95.0,95.0,95.0,,,,95.0,,,,,95.0,,,,,,,,,,
110320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,95.0,,,,,95.0,95.0,,,,95.0,,,,,95.0,,,,,,,,,,,,,,,,,,,,
110322,,,,,,,,,,,95.0,,,,,,,,,95.0,95.0,,,,,,,,,95.0,95.0,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,95.0
110324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,95.0,,,,95.0,95.0,95.0,,,,95.0,,,,95.0,95.0,,,,,,,,,,,,,,,,,,,,
110326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,95.0,,95.0,,95.0,95.0,95.0,,,,95.0,,95.0,,95.0,95.0,95.0,,,,95.0,,,,,95.0,,,,,,,,,,
110332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,95.0,,,,95.0,95.0,95.0,,,,95.0,,,,95.0,95.0,95.0,,,,95.0,,,,,95.0,,,,,,,,,,
110336,95.0,,,,,,,,,95.0,95.0,,,,95.0,,,,,95.0,95.0,,,,95.0,,95.0,,,95.0,95.0,,,,95.0,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,95.0,,,,,95.0
110338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,95.0,95.0,95.0,,95.0,95.0,95.0,,,,95.0,95.0,95.0,,95.0,95.0,95.0,,,,95.0,,,,,95.0,,,,,,,,,,
110340,95.0,,,,95.0,,95.0,,,95.0,95.0,,,,95.0,,95.0,,95.0,95.0,95.0,,,,95.0,,95.0,,95.0,95.0,95.0,,,,95.0,,95.0,,95.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,94.0,,93.0,,95.0,95.0
110342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,,,,95.0,95.0,95.0,,95.0,95.0,,,,,,,,,,
110348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,95.0,95.0,95.0,,,95.0,95.0,,,,95.0,95.0,95.0,,,95.0,,,,,,,,,,,,,,,,,,,,
110352,95.0,,,,95.0,,,,,95.0,95.0,,,,95.0,,95.0,,,95.0,95.0,,,,95.0,,95.0,,95.0,95.0,95.0,,,,95.0,,95.0,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,95.0,,95.0,,95.0,95.0
