agency_code,asm_option,subgroup,ma_score,ma_score_masking,ma_grade,rd_score,rd_score_masking,rd_grade,sc_score,sc_score_masking,m1_score,m1_score_masking,e2_score,e2_score_masking,bi_score,bi_score_masking,act_score,act_score_masking,wk_score,wk_score_masking,mcr_score,mcr_score_masking,cgrs_score,cgrs_score_masking,ach_score,ach_score_masking,eg_status,eg_score,spg_score,spg_grade,ma_spg_score,rd_spg_score,ma_eg_status,rd_eg_status,ma_eg_score,rd_eg_score
60U000,Y,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61L000,Y,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93L000,Y,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00A000,,ALL,39.0,,D,68.0,,B,63.0,,41.0,,69.0,,45.0,,,,,,,,,,55.0,,NotMet,50.0,54.0,D,42.0,70.0,NotMet,Met,53.4,75.7
00B000,,ALL,24.0,,F,54.0,,C,54.0,,38.0,,59.0,,47.0,,67.0,,,,,,,,42.0,,NotMet,50.9,44.0,D,30.0,57.0,NotMet,NotMet,54.0,68.3
01B000,,ALL,55.0,,C,71.0,,B,78.0,,69.0,,85.0,,51.0,,63.0,,,,95.0,1.0,92.0,,67.0,,NotMet,64.7,67.0,C,57.0,73.0,NotMet,Met,64.1,80.7
01C000,,ALL,66.0,,C,65.0,,C,78.0,,79.0,,77.0,,76.0,,71.0,,,,95.0,1.0,95.0,1.0,72.0,,Met,81.1,74.0,B,67.0,68.0,Met,Met,71.6,81.2
01D000,,ALL,74.0,,B,82.0,,B,84.0,,76.0,,86.0,,76.0,,76.0,,,,91.0,,89.0,,80.0,,NotMet,64.9,77.0,B,74.0,80.0,Met,Met,73.5,71.1
06A000,,ALL,14.0,,F,29.0,,F,,,5.0,2.0,,,25.0,,,,,,,,,,16.0,,,,16.0,F,14.0,29.0,,,,
06B000,,ALL,38.0,,D,30.0,,D,57.0,,40.0,,50.0,,17.0,,40.0,,,,95.0,1.0,55.0,,41.0,,Exceeded,88.3,50.0,D,48.0,40.0,Exceeded,Met,90.5,82.8
07A000,,ALL,49.0,,C,74.0,,B,76.0,,50.0,,86.0,,52.0,,83.0,,,,,,,,64.0,,Exceeded,93.1,69.0,C,58.0,76.0,Exceeded,Met,96.5,84.9
08A000,,ALL,21.0,,F,29.0,,F,39.0,,,,,,,,,,,,,,,,27.0,,NotMet,57.1,33.0,F,28.0,37.0,NotMet,NotMet,56.0,69.6
10A000,,ALL,70.0,,B,70.0,,B,80.0,,95.0,1.0,,,,,,,,,,,,,72.0,,Exceeded,85.5,74.0,B,73.0,72.0,Exceeded,Met,88.2,82.1
10B000,,ALL,79.0,,B,77.0,,B,,,,,,,,,,,,,,,,,78.0,,Met,77.0,78.0,B,79.0,76.0,Met,Met,82.5,73.2
11A000,,ALL,70.0,,B,80.0,,B,90.0,,93.0,,,,,,,,,,,,,,78.0,,Met,80.2,78.0,B,74.0,77.0,Exceeded,NotMet,91.2,67.4
11B000,,ALL,65.0,,C,75.0,,B,87.0,,95.0,1.0,,,,,,,,,,,,,73.0,,Met,75.1,74.0,B,68.0,74.0,Met,Met,83.5,70.7
11C000,,ALL,63.0,,B,69.0,,B,73.0,,60.0,,50.0,,52.0,,56.0,,,,95.0,1.0,77.0,,66.0,,Exceeded,86.6,70.0,B,70.0,70.0,Exceeded,Met,98.5,71.8
11D000,,ALL,63.0,,C,74.0,,B,94.0,,78.0,,67.0,,43.0,,71.0,,,,,,,,71.0,,Met,72.5,71.0,B,66.0,73.0,Met,Met,78.4,71.5
11K000,,ALL,74.0,,B,75.0,,B,80.0,,95.0,1.0,,,,,,,,,,,,,76.0,,Met,82.4,77.0,B,76.0,76.0,Met,Met,84.8,80.0
12A000,,ALL,55.0,,C,72.0,,B,81.0,,95.0,1.0,,,,,,,,,,,,,67.0,,Met,75.9,69.0,C,58.0,74.0,NotMet,Met,68.7,81.2
13A000,,ALL,46.0,,D,62.0,,C,77.0,,62.0,,61.0,,65.0,,48.0,,,,95.0,1.0,95.0,1.0,59.0,,NotMet,57.4,59.0,C,48.0,63.0,NotMet,NotMet,56.6,67.7
13B000,,ALL,45.0,,D,60.0,,C,67.0,,52.0,,64.0,,50.0,,,,,,,,,,54.0,,NotMet,50.9,54.0,D,46.0,62.0,NotMet,Met,50.0,70.1
13C000,,ALL,21.0,,F,40.0,,D,22.0,,,,,,,,,,,,,,,,30.0,,Met,73.6,38.0,F,31.0,48.0,NotMet,Met,69.7,81.3
13D000,,ALL,46.0,,D,50.0,,C,43.0,,,,,,,,,,,,,,,,47.0,,Met,80.7,54.0,D,53.0,56.0,Met,Met,84.1,80.3
16B000,,ALL,87.0,,A,83.0,,B,90.0,,,,,,,,,,,,,,,,86.0,,Met,84.3,86.0,A,87.0,84.0,Met,Exceeded,71.5,89.1
19A000,,ALL,68.0,,B,80.0,,B,83.0,,85.0,,89.0,,88.0,,79.0,,,,95.0,1.0,84.0,,79.0,,Exceeded,85.3,80.0,B,70.0,81.0,Met,Met,78.1,82.0
19B000,,ALL,89.0,,A,89.0,,A,95.0,1.0,95.0,1.0,95.0,1.0,95.0,1.0,95.0,,,,95.0,1.0,92.0,,92.0,,Met,79.5,90.0,A+NG,86.0,87.0,Met,Met,75.6,78.4
19C000,,ALL,54.0,,C,78.0,,B,59.0,,,,,,,,,,,,,,,,65.0,,NotMet,64.1,65.0,C,57.0,76.0,Met,NotMet,71.5,68.9
20A000,,ALL,45.0,,D,60.0,,C,72.0,,95.0,1.0,,,,,,,,,,,,,57.0,,Met,77.0,61.0,C,52.0,64.0,Met,Met,78.9,77.2
23A000,,ALL,64.0,,C,74.0,,B,90.0,,71.0,,,,,,,,,,,,,,72.0,,NotMet,60.0,69.0,C,65.0,73.0,NotMet,NotMet,67.5,66.2
24B000,,ALL,11.0,,F,26.0,,F,17.0,,12.0,,29.0,,10.0,,60.0,,,,95.0,1.0,60.0,,28.0,,NotMet,62.7,35.0,F,23.0,36.0,Met,Met,70.4,79.4
24N000,,ALL,57.0,,C,62.0,,C,77.0,,95.0,1.0,,,,,,,,,,,,,62.0,,Exceeded,91.1,68.0,C,64.0,66.0,Exceeded,Met,90.4,84.4
26B000,,ALL,62.0,,C,65.0,,C,76.0,,71.0,,,,,,,,,,,,,,65.0,,Met,81.1,68.0,C,65.0,68.0,Met,Met,77.7,83.1
26C000,,ALL,39.0,,D,55.0,,C,47.0,,,,,,,,,,,,,,,,47.0,,Met,70.2,52.0,D,47.0,58.0,Met,NotMet,80.6,68.3
27A000,,ALL,50.0,,D,67.0,,C,,,,,,,,,,,,,,,,,58.0,,,,58.0,C,50.0,67.0,,,,
32A000,,ALL,59.0,,C,50.0,,C,85.0,,95.0,1.0,,,,,,,,,,,,,60.0,,Exceeded,94.2,67.0,C,65.0,58.0,Exceeded,Exceeded,90.7,90.0
32B000,,ALL,24.0,,F,26.0,,F,51.0,,,,,,,,,,,,,,,,29.0,,Met,80.5,39.0,F,37.0,35.0,Exceeded,Met,85.7,71.1
32C000,,ALL,27.0,,F,28.0,,F,54.0,,78.0,,,,,,,,,,,,,,33.0,,Met,80.3,42.0,D,37.0,39.0,Met,Met,78.5,81.5
32D000,,ALL,51.0,,D,63.0,,C,81.0,,53.0,,45.0,,39.0,,31.0,,,,95.0,1.0,81.0,,60.0,,NotMet,60.1,60.0,C,51.0,66.0,NotMet,Met,55.4,76.7
32H000,,ALL,47.0,,C,50.0,,C,53.0,,95.0,1.0,,,,,,,,,,,,,50.0,,Met,84.4,57.0,C,55.0,57.0,Exceeded,Met,86.9,83.3
32K000,,ALL,60.0,,C,73.0,,B,76.0,,92.0,,,,,,,,,,,,,,68.0,,Exceeded,90.2,73.0,B,66.0,75.0,Exceeded,Exceeded,89.5,85.7
32M000,,ALL,54.0,,C,48.0,,C,65.0,,,,,,,,,,,,,,,,53.0,,Exceeded,88.1,60.0,C,61.0,55.0,Exceeded,Met,90.4,83.0
32P000,,ALL,18.0,,F,29.0,,D,49.0,,,,,,,,,,,,,,,,27.0,,Met,81.5,38.0,F,30.0,40.0,Met,Met,78.6,82.4
32Q000,,ALL,33.0,,D,33.0,,D,48.0,,,,,,,,,,,,,,,,35.0,,Met,79.3,43.0,D,43.0,41.0,Met,Met,82.2,75.1
32R000,,ALL,48.0,,C,58.0,,C,47.0,,,,,,,,,,,,,,,,52.0,,Met,84.8,59.0,C,56.0,62.0,Exceeded,Met,92.2,78.7
32S000,,ALL,21.0,,F,25.0,,F,48.0,,,,,,,,,,,,,,,,28.0,,Met,84.9,39.0,F,34.0,37.0,Exceeded,Met,87.0,80.9
34B000,,ALL,57.0,,C,48.0,,C,68.0,,56.0,,46.0,,59.0,,24.0,,,,95.0,1.0,95.0,,55.0,,Exceeded,96.4,63.0,C,64.0,56.0,Exceeded,Exceeded,93.4,90.0
34D000,,ALL,23.0,,F,26.0,,F,51.0,,58.0,,55.0,,17.0,,17.0,,,,92.0,,89.0,,35.0,,Met,84.7,45.0,D,35.0,37.0,Met,Met,80.6,81.5
34F000,,ALL,46.0,,D,47.0,,D,59.0,,90.0,,,,,,,,,,,,,,49.0,,Met,82.8,56.0,C,53.0,54.0,Met,Met,81.0,84.4
34G000,,ALL,60.0,,C,74.0,,B,89.0,,95.0,1.0,,,,,,,,,,,,,71.0,,Met,83.0,73.0,B,65.0,73.0,Exceeded,NotMet,88.2,68.5
34H000,,ALL,75.0,,B,83.0,,B,88.0,,83.0,,93.0,,78.0,,83.0,,,,94.0,,95.0,1.0,82.0,,Met,74.0,80.0,B,74.0,82.0,Met,Met,70.8,75.0
35A000,,ALL,40.0,,D,64.0,,C,64.0,,95.0,1.0,,,,,,,,,,,,,54.0,,NotMet,69.2,57.0,C,44.0,67.0,NotMet,Met,62.7,81.4
35B000,,ALL,23.0,,F,51.0,,C,,,,,,,,,,,,,,,,,37.0,,Met,82.4,46.0,D,23.0,58.0,,Met,,82.4
36B000,,ALL,66.0,,C,74.0,,B,78.0,,70.0,,78.0,,58.0,,61.0,,,,94.0,,88.0,,72.0,,Met,81.1,74.0,B,68.0,76.0,Met,Exceeded,74.6,85.1
36C000,,ALL,67.0,,C,73.0,,B,90.0,,77.0,,73.0,,66.0,,68.0,,,,95.0,1.0,95.0,1.0,75.0,,Met,73.2,74.0,B,65.0,74.0,NotMet,Met,60.3,77.6
39A000,,ALL,62.0,,C,79.0,,B,89.0,,78.0,,81.0,,70.0,,,,,,,,,,74.0,,Exceeded,89.0,77.0,B,67.0,80.0,Exceeded,Met,85.6,84.4
41B000,,ALL,89.0,,A,85.0,,A,92.0,,95.0,1.0,,,,,,,,,,,,,88.0,,Exceeded,100.0,91.0,A+NG,91.0,85.0,Exceeded,Exceeded,100.0,85.4
41C000,,ALL,42.0,,D,45.0,,D,76.0,,,,,,,,,,,,,,,,48.0,,Exceeded,87.2,55.0,C,51.0,53.0,Exceeded,Met,85.2,83.8
41D000,,ALL,56.0,,C,66.0,,B,58.0,,56.0,,,,,,,,,,,,,,60.0,,Exceeded,85.6,65.0,C,60.0,71.0,Met,Exceeded,79.7,90.8
41F000,,ALL,62.0,,C,69.0,,B,84.0,,74.0,,61.0,,59.0,,60.0,,,,95.0,1.0,93.0,,69.0,,Met,82.2,72.0,B,67.0,71.0,Met,Met,84.1,80.2
41G000,,ALL,61.0,,C,77.0,,B,81.0,,49.0,,71.0,,51.0,,,,,,,,,,69.0,,Met,80.3,71.0,B,64.0,78.0,Met,Met,75.3,82.8
41H000,,ALL,52.0,,C,58.0,,C,84.0,,29.0,,20.0,,40.0,,,,,,,,,,57.0,,Met,77.3,61.0,C,55.0,63.0,NotMet,Met,66.4,83.3
41J000,,ALL,79.0,,B,78.0,,B,92.0,,95.0,1.0,,,,,,,,,,,,,81.0,,Exceeded,91.2,83.0,B,82.0,79.0,Exceeded,Met,93.9,81.7
41K000,,ALL,,,,,,,,,55.0,,72.0,,62.0,,71.0,,,,,,,,64.0,,Met,82.0,68.0,C,,,,,,
41L000,,ALL,35.0,,D,36.0,,D,63.0,,,,,,,,,,,,,,,,39.0,,NotMet,59.6,43.0,D,41.0,41.0,NotMet,NotMet,65.7,59.9
42A000,,ALL,43.0,,D,53.0,,C,57.0,,,,,,,,,,,,,,,,49.0,,Exceeded,95.7,59.0,C,53.0,61.0,Exceeded,Exceeded,93.2,92.3
43C000,,ALL,65.0,,C,79.0,,B,81.0,,,,,,,,,,,,,,,,73.0,,Met,74.3,73.0,B,67.0,78.0,Met,Met,76.7,74.6
44A000,,ALL,53.0,,C,67.0,,B,83.0,,,,,,,,,,,,,,,,62.0,,Met,75.2,65.0,C,57.0,70.0,Met,Met,74.5,78.6
45A000,,ALL,58.0,,C,61.0,,C,71.0,,,,,,,,,,,,,,,,62.0,,Met,82.2,66.0,C,63.0,66.0,Met,Met,83.3,81.9
45B000,,ALL,33.0,,F,71.0,,B,,,,,,,,,,,,,,,,,52.0,,NotMet,65.8,55.0,C,33.0,70.0,,NotMet,,65.8
49B000,,ALL,53.0,,C,61.0,,C,79.0,,95.0,1.0,,,,,,,,,,,,,61.0,,NotMet,69.2,63.0,C,57.0,63.0,Met,NotMet,74.9,68.6
49D000,,ALL,27.0,,F,24.0,,F,77.0,,,,,,,,,,,,,,,,32.0,,Met,82.9,42.0,D,38.0,35.0,Met,Met,82.2,82.1
49,,ALL,83.0,,B,84.0,,B,90.0,,88.0,,90.0,,78.0,,94.0,,,,95.0,1.0,95.0,1.0,86.0,,Met,83.8,86.0,A+NG,83.0,84.0,Met,Exceeded,84.2,85.6
49F000,,ALL,59.0,,C,71.0,,B,76.0,,64.0,,80.0,,44.0,,,,,,,,,,66.0,,NotMet,54.8,64.0,C,58.0,72.0,NotMet,Met,53.9,76.2
49G000,,ALL,44.0,,D,53.0,,C,42.0,,,,,,,,,,,,,,,,48.0,,NotMet,65.4,51.0,D,47.0,59.0,NotMet,Met,58.4,81.7
50A000,,ALL,51.0,,C,62.0,,C,71.0,,73.0,,,,,,,,,,,,,,59.0,,Met,81.2,63.0,C,57.0,65.0,Met,Met,82.8,81.2
51A000,,ALL,64.0,,C,73.0,,B,80.0,,65.0,,78.0,,74.0,,76.0,,,,95.0,1.0,95.0,1.0,73.0,,NotMet,61.5,70.0,B,66.0,73.0,Met,Met,71.6,74.7
54A000,,ALL,23.0,,F,32.0,,D,53.0,,,,,,,,,,,,,,,,31.0,,Met,81.8,41.0,D,34.0,42.0,Met,Met,77.1,83.5
55A000,,ALL,79.0,,B,83.0,,B,86.0,,78.0,,84.0,,72.0,,84.0,,,,95.0,1.0,95.0,1.0,83.0,,NotMet,58.7,78.0,B,76.0,81.0,NotMet,NotMet,62.5,69.4
60A000,,ALL,26.0,,F,36.0,,D,56.0,,,,,,,,,,,,,,,,34.0,,Met,83.1,44.0,D,37.0,45.0,Met,Met,80.9,83.2
60B000,,ALL,58.0,,C,57.0,,C,75.0,,61.0,,74.0,,66.0,,38.0,,,,,,,,60.0,,Met,77.7,63.0,C,58.0,63.0,NotMet,Exceeded,59.2,87.6
60D000,,ALL,77.0,,B,83.0,,B,95.0,1.0,87.0,,93.0,,85.0,,95.0,,,,95.0,1.0,95.0,1.0,87.0,,Exceeded,97.4,89.0,A,79.0,83.0,Exceeded,Met,85.9,83.7
60F000,,ALL,95.0,1.0,A,95.0,1.0,A,95.0,1.0,95.0,1.0,,,95.0,1.0,,,,,,,,,95.0,1.0,Met,81.4,95.0,A+NG,93.0,95.0,Met,Exceeded,76.0,85.4
60G000,,ALL,70.0,,B,72.0,,B,86.0,,58.0,,77.0,,40.0,,69.0,,,,95.0,,91.0,,72.0,,NotMet,67.1,71.0,B,70.0,73.0,NotMet,Met,69.9,74.7
60I000,,ALL,84.0,,B,82.0,,B,93.0,,84.0,,88.0,,91.0,,94.0,,,,95.0,1.0,95.0,1.0,87.0,,Met,76.1,85.0,A+NG,82.0,79.0,Met,NotMet,74.0,68.0
60J000,,ALL,81.0,,B,81.0,,B,84.0,,95.0,1.0,,,,,,,,,,,,,82.0,,Met,83.1,82.0,B,81.0,82.0,Met,Exceeded,80.2,87.9
60K000,,ALL,24.0,,F,39.0,,D,77.0,,38.0,,66.0,,41.0,,49.0,,,,93.0,,74.0,,48.0,,NotMet,63.8,51.0,D,33.0,45.0,NotMet,Met,65.3,71.3
60L000,,ALL,42.0,,D,41.0,,D,66.0,,79.0,,,,,,,,,,,,,,46.0,,Exceeded,86.6,54.0,D,51.0,49.0,Exceeded,Met,87.8,82.3
60M000,,ALL,75.0,,B,78.0,,B,83.0,,,,,,,,,,,,,,,,77.0,,Met,76.8,77.0,B,76.0,78.0,Met,Met,80.0,78.8
60N000,,ALL,39.0,,D,40.0,,D,31.0,,,,,,,,,,,,,,,,39.0,,Met,79.6,47.0,D,47.0,47.0,Met,Met,82.8,75.8
60P000,,ALL,21.0,,F,31.0,,D,39.0,,,,,,,,,,,,,,,,27.0,,Met,76.5,37.0,F,29.0,41.0,NotMet,Met,64.3,84.2
60Q000,,ALL,25.0,,F,36.0,,D,44.0,,60.0,,,,,,,,,,,,,,33.0,,NotMet,67.4,40.0,D,36.0,42.0,Met,NotMet,79.2,68.4
60S000,,ALL,63.0,,C,72.0,,B,83.0,,84.0,,83.0,,64.0,,,,,,,,,,71.0,,Met,84.6,73.0,B,68.0,73.0,Exceeded,Met,86.6,77.6
60V000,,ALL,16.0,,F,28.0,,F,37.0,,8.0,,28.0,,5.0,,7.0,,,,95.0,1.0,94.0,,30.0,,NotMet,69.5,38.0,F,27.0,39.0,Met,Met,71.9,84.0
60Y000,,ALL,57.0,,C,68.0,,B,75.0,,,,,,,,,,,,,,,,64.0,,Exceeded,88.3,69.0,C,64.0,71.0,Exceeded,Met,89.6,84.5
61J000,,ALL,42.0,,D,60.0,,C,61.0,,,,,,,,,,,,,,,,52.0,,Met,76.0,57.0,C,49.0,64.0,Met,Met,75.3,80.0
61K000,,ALL,37.0,,D,48.0,,D,,,,,,,,,,,,,,,,,43.0,,Met,78.1,50.0,D,46.0,54.0,Met,Met,80.9,76.8
61M000,,ALL,70.0,,C,83.0,,B,79.0,,,,,,,,,,,,,,,,76.0,,NotMet,61.3,73.0,B,68.0,81.0,NotMet,Met,61.5,72.8
61N000,,ALL,71.0,,B,73.0,,B,83.0,,91.0,,,,,,,,,,,,,,73.0,,Met,74.1,73.0,B,72.0,73.0,Met,Met,76.7,75.8
61P000,,ALL,51.0,,C,61.0,,C,,,,,,,,,,,,,,,,,56.0,,Met,82.1,61.0,C,57.0,65.0,Met,Met,80.8,82.1
61Q000,,ALL,59.0,,C,66.0,,C,60.0,,,,,,,,,,,,,,,,62.0,,NotMet,61.4,62.0,C,59.0,68.0,NotMet,Met,58.0,77.2
61R000,,ALL,62.0,,C,65.0,,C,73.0,,,,,,,,,,,,,,,,64.0,,Met,73.7,66.0,C,64.0,68.0,Met,Met,70.9,79.0
63A000,,ALL,85.0,,B,82.0,,B,66.0,,,,,,,,,,,,,,,,81.0,,Met,70.3,79.0,B,81.0,81.0,NotMet,Met,67.9,79.3
63B000,,ALL,57.0,,C,74.0,,B,79.0,,53.0,,,,,,,,,,,,,,67.0,,NotMet,65.9,67.0,C,59.0,74.0,NotMet,Met,69.2,74.0
64A000,,ALL,28.0,,F,42.0,,D,46.0,,36.0,,45.0,,42.0,,43.0,,,,95.0,1.0,81.0,,41.0,,NotMet,59.9,45.0,D,34.0,50.0,NotMet,Met,58.3,81.0
65A000,,ALL,68.0,,C,82.0,,B,91.0,,95.0,1.0,,,,,,,,,,,,,78.0,,NotMet,60.2,75.0,B,68.0,79.0,NotMet,NotMet,65.9,66.9
65B000,,ALL,43.0,,D,56.0,,C,52.0,,,,,,,,,,,,,,,,50.0,,NotMet,68.1,53.0,D,48.0,59.0,Met,Met,70.2,74.0
65C000,,ALL,37.0,,D,41.0,,D,,,,,,,,,,,,,,,,,39.0,,Met,71.7,45.0,D,45.0,47.0,Met,Met,76.8,71.8
65D000,,ALL,39.0,,D,67.0,,C,63.0,,,,,,,,,,,,,,,,54.0,,Met,74.5,58.0,C,47.0,68.0,Met,Met,81.6,73.4
65G000,,ALL,31.0,,F,67.0,,B,,,,,,,,,,,,,,,,,49.0,,NotMet,69.7,53.0,D,37.0,70.0,NotMet,Met,59.4,82.3
66A000,,ALL,56.0,,C,56.0,,C,80.0,,64.0,,85.0,,81.0,,79.0,,,,95.0,1.0,93.0,,66.0,,Exceeded,89.4,71.0,B,64.0,61.0,Exceeded,Met,92.9,80.9
67B000,,ALL,16.0,,F,30.0,,F,20.0,,,,,,,,,,,,,,,,23.0,,Met,73.6,33.0,F,28.0,39.0,Met,Met,76.4,76.4
68A000,,ALL,73.0,,B,81.0,,B,89.0,,86.0,,81.0,,80.0,,,,,,,,,,79.0,,Met,80.5,80.0,B,74.0,80.0,Met,Met,75.5,75.8
68C000,,ALL,74.0,,B,87.0,,A,95.0,1.0,,,,,,,,,,,,,,,83.0,,Exceeded,87.4,84.0,B,77.0,86.0,Exceeded,Met,88.6,83.3
70A000,,ALL,61.0,,C,67.0,,C,90.0,,76.0,,78.0,,90.0,,,,,,,,,,72.0,,NotMet,68.9,71.0,B,62.0,69.0,NotMet,Met,68.6,74.3
73A000,,ALL,69.0,,B,63.0,,C,75.0,,,,,,,,,,,,,,,,67.0,,NotMet,68.2,67.0,C,70.0,64.0,Met,NotMet,75.9,67.7
73B000,,ALL,81.0,,B,85.0,,A,95.0,1.0,88.0,,84.0,,83.0,,86.0,,,,95.0,1.0,95.0,1.0,87.0,,Exceeded,93.2,88.0,A+NG,83.0,85.0,Exceeded,Met,89.9,83.7
74B000,,ALL,16.0,,F,34.0,,D,28.0,,,,,,,,,,,,,,,,25.0,,NotMet,57.8,32.0,F,24.0,41.0,NotMet,NotMet,57.5,69.9
74C000,,ALL,46.0,,D,57.0,,C,63.0,,,,,,,,,,,,,,,,53.0,,Met,72.7,57.0,C,51.0,61.0,Met,Met,70.4,79.2
78A000,,ALL,55.0,,C,49.0,,C,56.0,,,,,,,,,,,,,,,,52.0,,Exceeded,90.3,60.0,C,62.0,56.0,Exceeded,Exceeded,90.9,85.6
78B000,,ALL,85.0,,A,75.0,,B,90.0,,95.0,1.0,,,,,,,,,,,,,82.0,,Exceeded,88.7,83.0,B,86.0,76.0,Exceeded,Met,90.3,81.0
79A000,,ALL,48.0,,D,70.0,,B,79.0,,95.0,1.0,,,,,,,,,,,,,63.0,,Met,75.6,65.0,C,50.0,74.0,NotMet,Exceeded,59.2,87.3
81B000,,ALL,54.0,,C,70.0,,B,78.0,,57.0,,76.0,,,,84.0,,,,95.0,1.0,87.0,,67.0,,Exceeded,85.1,71.0,B,59.0,73.0,Met,Met,83.0,83.2
84B000,,ALL,,,,,,,,,78.0,,89.0,,75.0,,95.0,,,,95.0,1.0,95.0,1.0,88.0,,NotMet,58.1,82.0,B,,,,,,
86T000,,ALL,64.0,,C,70.0,,B,86.0,,85.0,,71.0,,95.0,1.0,89.0,,,,,,,,71.0,,Met,78.1,73.0,B,67.0,72.0,Met,Met,80.2,80.2
87A000,,ALL,72.0,,B,86.0,,A,95.0,1.0,95.0,1.0,,,,,,,,,,,,,83.0,,Met,82.8,83.0,B,75.0,85.0,Met,Met,82.9,80.9
88A000,,ALL,54.0,,C,77.0,,B,87.0,,95.0,1.0,,,,,,,,,,,,,69.0,,Met,75.4,70.0,B,59.0,76.0,Met,Met,81.5,73.1
90A000,,ALL,68.0,,C,80.0,,B,89.0,,73.0,,85.0,,68.0,,77.0,,,,95.0,1.0,95.0,1.0,78.0,,NotMet,59.0,74.0,B,67.0,76.0,NotMet,NotMet,65.4,62.7
90B000,,ALL,82.0,,B,75.0,,B,,,,,,,,,,,,,,,,,78.0,,Met,70.2,77.0,B,82.0,74.0,,Met,,70.2
90C000,,ALL,62.0,,C,66.0,,B,73.0,,,,,,,,,,,,,,,,65.0,,NotMet,69.2,66.0,C,61.0,70.0,NotMet,Met,57.6,84.7
91A000,,ALL,59.0,,C,59.0,,C,79.0,,71.0,,,,,,,,,,,,,,63.0,,NotMet,63.9,63.0,C,59.0,62.0,NotMet,Met,60.2,74.8
91B000,,ALL,85.0,,A,81.0,,B,95.0,1.0,94.0,,95.0,1.0,94.0,,,,,,,,,,87.0,,Exceeded,95.2,89.0,A+NG,86.0,82.0,Exceeded,Exceeded,87.3,87.6
92B000,,ALL,79.0,,B,84.0,,B,91.0,,95.0,1.0,,,,,,,,,,,,,84.0,,NotMet,58.3,79.0,B,76.0,81.0,NotMet,NotMet,62.1,67.6
92D000,,ALL,95.0,1.0,A,95.0,,A,95.0,1.0,95.0,1.0,,,,,,,,,,,,,95.0,1.0,Met,82.8,94.0,A+NG,95.0,92.0,Met,Met,84.2,82.1
92,,ALL,86.0,,A,93.0,,A,87.0,,95.0,1.0,,,,,,,,,,,,,89.0,,Met,81.5,88.0,A+NG,86.0,90.0,Exceeded,Met,86.5,78.0
92G000,,ALL,73.0,,B,78.0,,B,87.0,,83.0,,79.0,,85.0,,84.0,,,,95.0,1.0,92.0,,79.0,,Exceeded,90.7,82.0,B,76.0,78.0,Exceeded,Met,90.4,79.4
92L000,,ALL,57.0,,C,56.0,,C,72.0,,,,,,,,,,,,,,,,58.0,,Exceeded,89.3,64.0,C,63.0,62.0,Exceeded,Exceeded,86.7,87.7
92M000,,ALL,38.0,,D,39.0,,D,65.0,,95.0,1.0,,,,,,,,,,,,,43.0,,Met,82.4,51.0,D,47.0,47.0,Met,Met,82.3,80.1
92N000,,ALL,95.0,1.0,A,95.0,1.0,A,95.0,1.0,95.0,1.0,,,,,,,,,,,,,95.0,1.0,Met,83.8,97.0,A,97.0,97.0,Met,Met,82.6,83.5
92Q000,,ALL,40.0,,D,54.0,,C,69.0,,,,,,,,,,,,,,,,50.0,,Met,80.8,56.0,C,47.0,60.0,Met,Met,76.6,82.7
92R000,,ALL,64.0,,C,72.0,,B,84.0,,95.0,1.0,,,,,,,,,,,,,71.0,,NotMet,59.5,69.0,C,67.0,70.0,Met,NotMet,75.8,61.4
92S000,,ALL,91.0,,A,91.0,,A,95.0,1.0,95.0,1.0,,,,,,,,,,,,,93.0,,Exceeded,86.0,91.0,A,91.0,89.0,Exceeded,Met,89.8,79.3
92T000,,ALL,88.0,,A,92.0,,A,93.0,,93.0,,93.0,,95.0,1.0,,,,,,,,,91.0,,Met,83.1,90.0,A+NG,87.0,90.0,Met,Met,82.7,83.0
92U000,,ALL,,,,,,,,,58.0,,79.0,,64.0,,83.0,,,,95.0,1.0,71.0,,73.0,,NotMet,60.9,71.0,B,,,,,,
92V000,,ALL,79.0,,B,76.0,,B,80.0,,,,,,,,,,,,,,,,78.0,,Exceeded,94.8,81.0,B,81.0,79.0,Exceeded,Exceeded,91.4,92.6
92W000,,ALL,70.0,,C,80.0,,B,78.0,,95.0,1.0,,,,,,,,,,,,,76.0,,NotMet,57.5,73.0,B,66.0,81.0,NotMet,Met,53.3,83.7
92Y000,,ALL,68.0,,C,76.0,,B,93.0,,95.0,1.0,,,,,,,,,,,,,76.0,,Met,72.3,75.0,B,67.0,77.0,NotMet,Met,62.1,80.5
93A000,,ALL,9.0,,F,34.0,,D,75.0,,22.0,,20.0,,5.0,2.0,44.0,,,,80.0,,70.0,,35.0,,Met,81.8,44.0,D,23.0,44.0,Met,Met,78.1,83.6
95A000,,ALL,65.0,,C,79.0,,B,95.0,,95.0,1.0,,,,,,,,,,,,,76.0,,Met,77.9,77.0,B,67.0,79.0,Met,Met,77.9,78.5
96C000,,ALL,17.0,,F,21.0,,F,12.0,,,,,,,,,,,,,,,,18.0,,NotMet,57.5,26.0,F,26.0,30.0,NotMet,NotMet,61.2,65.8
