year,agency_code,home_lea,pct_enrolled,subgroup,masking
2019,00A000,NC-SEA,13.5,SWD,
2019,00A000,NC-SEA,13.7,HI7,
2019,00A000,NC-SEA,16.2,MU7,
2019,00A000,NC-SEA,19.6,BL7,
2019,00A000,NC-SEA,47.8,WH7,
2019,00A000,NC-SEA,5.0,AM7,2.0
2019,00A000,NC-SEA,5.0,AS7,2.0
2019,00A000,NC-SEA,5.0,ELS,2.0
2019,00A000,NC-SEA,5.0,PI7,2.0
2019,00A000,NC-SEA,8.7,EDS,
2019,00B000,NC-SEA,10.2,MU7,
2019,00B000,NC-SEA,11.2,HI7,
2019,00B000,NC-SEA,13.7,EDS,
2019,00B000,NC-SEA,14.0,SWD,
2019,00B000,NC-SEA,23.8,BL7,
2019,00B000,NC-SEA,52.1,WH7,
2019,00B000,NC-SEA,5.0,AM7,2.0
2019,00B000,NC-SEA,5.0,AS7,2.0
2019,00B000,NC-SEA,5.0,ELS,2.0
2019,00B000,NC-SEA,5.0,PI7,2.0
2019,010000,010LEA,13.1,SWD,
2019,010000,010LEA,23.8,BL7,
2019,010000,010LEA,27.3,HI7,
2019,010000,010LEA,41.7,WH7,
2019,010000,010LEA,45.6,EDS,
2019,010000,010LEA,5.3,MU7,
2019,010000,010LEA,5.0,AM7,2.0
2019,010000,010LEA,5.0,AS7,2.0
2019,010000,010LEA,5.0,PI7,2.0
2019,010000,010LEA,9.3,ELS,
2019,01B000,010LEA,12.5,BL7,
2019,01B000,010LEA,5.4,MU7,
2019,01B000,010LEA,5.0,AM7,2.0
2019,01B000,010LEA,5.0,AS7,2.0
2019,01B000,010LEA,5.0,EDS,2.0
2019,01B000,010LEA,5.0,ELS,2.0
2019,01B000,010LEA,5.0,PI7,2.0
2019,01B000,010LEA,70.5,WH7,
2019,01B000,010LEA,9.4,SWD,
2019,01B000,010LEA,9.6,HI7,
2019,01C000,010LEA,12.7,SWD,
2019,01C000,010LEA,5.8,HI7,
2019,01C000,010LEA,5.0,AM7,2.0
2019,01C000,010LEA,5.0,AS7,2.0
2019,01C000,010LEA,5.0,BL7,2.0
2019,01C000,010LEA,5.0,EDS,2.0
2019,01C000,010LEA,5.0,ELS,2.0
2019,01C000,010LEA,5.0,MU7,2.0
2019,01C000,010LEA,5.0,PI7,2.0
2019,01C000,010LEA,87.3,WH7,
2019,01D000,010LEA,13.9,SWD,
2019,01D000,010LEA,5.0,AM7,2.0
2019,01D000,010LEA,5.0,AS7,2.0
2019,01D000,010LEA,5.0,BL7,2.0
2019,01D000,010LEA,5.0,EDS,2.0
2019,01D000,010LEA,5.0,ELS,2.0
2019,01D000,010LEA,5.0,PI7,2.0
2019,01D000,010LEA,79.1,WH7,
2019,01D000,010LEA,8.3,HI7,
2019,01D000,010LEA,8.9,MU7,
2019,060000,060LEA,12.9,HI7,
2019,060000,060LEA,18.4,SWD,
2019,060000,060LEA,49.9,EDS,
2019,060000,060LEA,5.0,AM7,2.0
2019,060000,060LEA,5.0,AS7,2.0
2019,060000,060LEA,5.0,BL7,2.0
2019,060000,060LEA,5.0,MU7,2.0
2019,060000,060LEA,5.0,PI7,2.0
2019,060000,060LEA,6.6,ELS,
2019,060000,060LEA,82.3,WH7,
2019,06A000,060LEA,12.9,HI7,
2019,06A000,060LEA,12.9,MU7,
2019,06A000,060LEA,22.6,BL7,
2019,06A000,060LEA,25.8,EDS,
2019,06A000,060LEA,32.3,SWD,
2019,06A000,060LEA,51.6,WH7,
2019,06A000,060LEA,5.0,AM7,2.0
2019,06A000,060LEA,5.0,AS7,2.0
2019,06A000,060LEA,5.0,ELS,2.0
2019,06A000,060LEA,5.0,PI7,2.0
2019,06B000,060LEA,12.8,HI7,
2019,06B000,060LEA,25.6,SWD,
2019,06B000,060LEA,5.0,AM7,2.0
2019,06B000,060LEA,5.0,AS7,2.0
2019,06B000,060LEA,5.0,BL7,2.0
2019,06B000,060LEA,5.0,ELS,2.0
2019,06B000,060LEA,5.0,PI7,2.0
2019,06B000,060LEA,67.5,EDS,
2019,06B000,060LEA,73.5,WH7,
2019,06B000,060LEA,9.4,MU7,
2019,070000,070LEA,15.4,SWD,
2019,070000,070LEA,16.6,HI7,
2019,070000,070LEA,31.8,BL7,
2019,070000,070LEA,46.0,WH7,
2019,070000,070LEA,51.7,EDS,
2019,070000,070LEA,5.7,ELS,
2019,070000,070LEA,5.0,AM7,2.0
2019,070000,070LEA,5.0,AS7,2.0
2019,070000,070LEA,5.0,MU7,
2019,070000,070LEA,5.0,PI7,2.0
2019,07A000,070LEA,13.7,SWD,
2019,07A000,070LEA,5.5,HI7,
2019,07A000,070LEA,5.0,AM7,2.0
2019,07A000,070LEA,5.0,AS7,2.0
2019,07A000,070LEA,5.0,BL7,2.0
2019,07A000,070LEA,5.0,EDS,2.0
2019,07A000,070LEA,5.0,ELS,2.0
2019,07A000,070LEA,5.0,PI7,2.0
2019,07A000,070LEA,7.5,MU7,
2019,07A000,070LEA,82.5,WH7,
2019,080000,080LEA,12.3,WH7,
2019,080000,080LEA,13.7,SWD,
2019,080000,080LEA,53.7,EDS,
2019,080000,080LEA,5.0,AM7,2.0
2019,080000,080LEA,5.0,AS7,2.0
2019,080000,080LEA,5.0,ELS,2.0
2019,080000,080LEA,5.0,HI7,2.0
2019,080000,080LEA,5.0,MU7,2.0
2019,080000,080LEA,5.0,PI7,2.0
2019,080000,080LEA,79.5,BL7,
2019,08A000,080LEA,17.2,SWD,
2019,08A000,080LEA,25.3,EDS,
2019,08A000,080LEA,5.0,AM7,2.0
2019,08A000,080LEA,5.0,AS7,2.0
2019,08A000,080LEA,5.0,ELS,2.0
2019,08A000,080LEA,5.0,PI7,2.0
2019,08A000,080LEA,5.0,WH7,2.0
2019,08A000,080LEA,6.9,MU7,
2019,08A000,080LEA,80.5,BL7,
2019,08A000,080LEA,8.0,HI7,
2019,090000,090LEA,12.4,SWD,
2019,090000,090LEA,20.7,HI7,
2019,090000,090LEA,35.2,WH7,
2019,090000,090LEA,36.1,BL7,
2019,090000,090LEA,5.8,MU7,
2019,090000,090LEA,5.0,AM7,2.0
2019,090000,090LEA,5.0,AS7,2.0
2019,090000,090LEA,5.0,PI7,2.0
2019,090000,090LEA,69.2,EDS,
2019,090000,090LEA,7.1,ELS,
2019,09A000,090LEA,17.3,SWD,
2019,09A000,090LEA,17.3,WH7,
2019,09A000,090LEA,24.0,EDS,
2019,09A000,090LEA,5.0,AS7,2.0
2019,09A000,090LEA,5.0,ELS,2.0
2019,09A000,090LEA,5.0,PI7,2.0
2019,09A000,090LEA,60.0,BL7,
2019,09A000,090LEA,6.0,HI7,
2019,09A000,090LEA,8.7,MU7,
2019,09A000,090LEA,8.0,AM7,
2019,09B000,090LEA,13.8,SWD,
2019,09B000,090LEA,16.8,BL7,
2019,09B000,090LEA,17.7,EDS,
2019,09B000,090LEA,5.0,AM7,2.0
2019,09B000,090LEA,5.0,AS7,2.0
2019,09B000,090LEA,5.0,ELS,2.0
2019,09B000,090LEA,5.0,HI7,2.0
2019,09B000,090LEA,5.0,PI7,2.0
2019,09B000,090LEA,6.8,MU7,
2019,09B000,090LEA,70.1,WH7,
2019,100000,100LEA,14.2,SWD,
2019,100000,100LEA,14.0,BL7,
2019,100000,100LEA,15.0,HI7,
2019,100000,100LEA,57.2,EDS,
2019,100000,100LEA,5.0,AM7,2.0
2019,100000,100LEA,5.0,AS7,2.0
2019,100000,100LEA,5.0,ELS,2.0
2019,100000,100LEA,5.0,PI7,2.0
2019,100000,100LEA,62.8,WH7,
2019,100000,100LEA,6.8,MU7,
2019,10A000,100LEA,11.7,SWD,
2019,10A000,100LEA,5.8,EDS,
2019,10A000,100LEA,5.0,AM7,2.0
2019,10A000,100LEA,5.0,AS7,2.0
2019,10A000,100LEA,5.0,ELS,2.0
2019,10A000,100LEA,5.0,PI7,2.0
2019,10A000,100LEA,73.8,WH7,
2019,10A000,100LEA,7.3,HI7,
2019,10A000,100LEA,7.4,MU7,
2019,10A000,100LEA,9.5,BL7,
2019,10B000,100LEA,5.3,BL7,
2019,10B000,100LEA,5.3,HI7,
2019,10B000,100LEA,5.0,AM7,2.0
2019,10B000,100LEA,5.0,AS7,2.0
2019,10B000,100LEA,5.0,EDS,2.0
2019,10B000,100LEA,5.0,ELS,2.0
2019,10B000,100LEA,5.0,PI7,2.0
2019,10B000,100LEA,79.6,WH7,
2019,10B000,100LEA,8.3,MU7,
2019,10B000,100LEA,8.5,SWD,
2019,110000,110LEA,14.6,SWD,
2019,110000,110LEA,18.3,HI7,
2019,110000,110LEA,43.6,EDS,
2019,110000,110LEA,5.0,AM7,2.0
2019,110000,110LEA,5.0,AS7,2.0
2019,110000,110LEA,5.0,PI7,2.0
2019,110000,110LEA,65.9,WH7,
2019,110000,110LEA,6.8,BL7,
2019,110000,110LEA,7.1,MU7,
2019,110000,110LEA,7.3,ELS,
2019,111000,111LEA,11.9,SWD,
2019,111000,111LEA,18.5,BL7,
2019,111000,111LEA,31.0,EDS,
2019,111000,111LEA,5.0,AM7,2.0
2019,111000,111LEA,5.0,AS7,2.0
2019,111000,111LEA,5.0,ELS,2.0
2019,111000,111LEA,5.0,PI7,2.0
2019,111000,111LEA,62.6,WH7,
2019,111000,111LEA,8.3,MU7,
2019,111000,111LEA,8.6,HI7,
2019,11A000,110LEA,13.5,SWD,
2019,11A000,110LEA,5.0,AM7,2.0
2019,11A000,110LEA,5.0,AS7,2.0
2019,11A000,110LEA,5.0,BL7,2.0
2019,11A000,110LEA,5.0,EDS,2.0
2019,11A000,110LEA,5.0,ELS,2.0
2019,11A000,110LEA,5.0,HI7,2.0
2019,11A000,110LEA,5.0,MU7,2.0
2019,11A000,110LEA,5.0,PI7,2.0
2019,11A000,110LEA,92.1,WH7,
2019,11B000,110LEA,16.3,SWD,
2019,11B000,110LEA,5.0,AM7,2.0
2019,11B000,110LEA,5.0,AS7,2.0
2019,11B000,110LEA,5.0,BL7,2.0
2019,11B000,110LEA,5.0,EDS,2.0
2019,11B000,110LEA,5.0,ELS,2.0
2019,11B000,110LEA,5.0,PI7,2.0
2019,11B000,110LEA,80.7,WH7,
2019,11B000,110LEA,8.5,HI7,
2019,11B000,110LEA,8.0,MU7,
2019,11C000,110LEA,12.7,SWD,
2019,11C000,110LEA,5.0,AM7,2.0
2019,11C000,110LEA,5.0,AS7,2.0
2019,11C000,110LEA,5.0,BL7,2.0
2019,11C000,110LEA,5.0,EDS,2.0
2019,11C000,110LEA,5.0,ELS,2.0
2019,11C000,110LEA,5.0,PI7,2.0
2019,11C000,110LEA,78.8,WH7,
2019,11C000,110LEA,8.7,HI7,
2019,11C000,110LEA,9.1,MU7,
2019,11D000,110LEA,16.1,SWD,
2019,11D000,110LEA,5.0,AM7,2.0
2019,11D000,110LEA,5.0,AS7,2.0
2019,11D000,110LEA,5.0,BL7,2.0
2019,11D000,110LEA,5.0,ELS,2.0
2019,11D000,110LEA,5.0,HI7,2.0
2019,11D000,110LEA,5.0,PI7,2.0
2019,11D000,110LEA,83.2,WH7,
2019,11D000,110LEA,9.3,EDS,
2019,11D000,110LEA,9.3,MU7,
2019,11K000,111LEA,10.0,HI7,
2019,11K000,111LEA,15.0,SWD,
2019,11K000,111LEA,23.3,BL7,
2019,11K000,111LEA,56.7,WH7,
2019,11K000,111LEA,5.0,AM7,2.0
2019,11K000,111LEA,5.0,AS7,2.0
2019,11K000,111LEA,5.0,EDS,2.0
2019,11K000,111LEA,5.0,ELS,2.0
2019,11K000,111LEA,5.0,PI7,2.0
2019,11K000,111LEA,6.7,MU7,
2019,120000,120LEA,15.5,SWD,
2019,120000,120LEA,17.3,HI7,
2019,120000,120LEA,52.8,EDS,
2019,120000,120LEA,5.5,MU7,
2019,120000,120LEA,5.9,AS7,
2019,120000,120LEA,5.0,AM7,2.0
2019,120000,120LEA,5.0,BL7,2.0
2019,120000,120LEA,5.0,PI7,2.0
2019,120000,120LEA,66.6,WH7,
2019,120000,120LEA,8.3,ELS,
2019,12A000,120LEA,12.9,SWD,
2019,12A000,120LEA,5.6,EDS,
2019,12A000,120LEA,5.0,AM7,2.0
2019,12A000,120LEA,5.0,AS7,2.0
2019,12A000,120LEA,5.0,BL7,2.0
2019,12A000,120LEA,5.0,ELS,2.0
2019,12A000,120LEA,5.0,HI7,2.0
2019,12A000,120LEA,5.0,PI7,2.0
2019,12A000,120LEA,6.2,MU7,
2019,12A000,120LEA,83.3,WH7,
2019,130000,130LEA,11.0,SWD,
2019,130000,130LEA,17.9,HI7,
2019,130000,130LEA,20.7,BL7,
2019,130000,130LEA,31.0,EDS,
2019,130000,130LEA,48.4,WH7,
2019,130000,130LEA,5.0,AM7,2.0
2019,130000,130LEA,5.0,PI7,2.0
2019,130000,130LEA,6.2,MU7,
2019,130000,130LEA,6.4,AS7,
2019,130000,130LEA,6.8,ELS,
2019,13A000,130LEA,10.1,SWD,
2019,13A000,130LEA,10.3,MU7,
