dance_cat,music_cat,theatre_cat,va_cat,agency_code
N,Y,N,Y,421328
N,Y,N,Y,422310
N,N,N,Y,422314
N,Y,N,Y,422315
N,Y,N,Y,422318
N,Y,N,N,42A000
N,Y,N,Y,430304
N,Y,N,Y,430308
N,Y,N,Y,430312
N,Y,N,Y,430316
N,Y,N,Y,430320
N,Y,N,Y,430328
N,Y,N,Y,430330
N,Y,N,Y,430332
N,Y,N,Y,430336
N,Y,N,Y,430340
N,Y,N,Y,430344
N,Y,Y,Y,430346
N,Y,Y,Y,430347
N,Y,N,Y,430348
N,Y,N,Y,430349
N,Y,Y,Y,430351
N,Y,N,Y,430352
N,Y,N,Y,430358
N,Y,N,Y,430368
N,Y,N,Y,430369
N,Y,N,Y,430370
N,Y,Y,Y,430371
N,Y,N,Y,430376
N,Y,Y,Y,430378
N,Y,N,Y,430380
N,Y,Y,Y,430384
N,Y,N,Y,430386
N,Y,N,Y,43C000
N,Y,N,Y,440314
N,Y,N,Y,440318
N,Y,N,Y,440320
N,N,N,Y,440326
N,Y,N,Y,440328
N,Y,N,Y,440332
N,N,N,Y,440346
N,Y,N,Y,440348
N,Y,N,Y,440349
N,Y,N,Y,440350
N,Y,N,Y,440364
N,Y,N,Y,440368
N,Y,Y,Y,440378
N,Y,N,Y,440390
N,Y,N,Y,440396
N,Y,N,Y,44A000
Y,Y,N,Y,450301
N,Y,N,N,450302
N,Y,N,Y,450306
N,Y,N,N,450307
N,N,N,Y,450308
Y,Y,Y,Y,450316
N,Y,N,N,450322
N,Y,N,N,450324
N,Y,N,Y,450328
N,Y,N,Y,450332
N,Y,N,N,450333
N,Y,Y,Y,450334
N,Y,Y,Y,450335
N,Y,N,Y,450336
N,Y,N,Y,450339
N,N,N,Y,450340
Y,Y,Y,Y,450341
N,Y,Y,Y,450342
N,N,N,Y,450343
N,Y,N,Y,450344
N,Y,N,N,450346
Y,Y,Y,Y,450352
N,N,N,Y,460308
N,Y,N,Y,460312
N,Y,N,Y,460318
N,Y,Y,Y,460320
N,Y,N,Y,460322
N,Y,N,Y,460332
N,Y,N,Y,470310
Y,Y,Y,Y,470312
N,Y,N,Y,470316
Y,Y,N,Y,470320
N,Y,N,Y,470328
N,Y,N,Y,470330
Y,Y,N,Y,470332
N,Y,N,Y,470336
N,Y,N,Y,470340
N,Y,N,Y,470346
N,Y,N,Y,470441
Y,Y,N,Y,470442
N,Y,Y,Y,470443
N,N,N,Y,480306
N,Y,N,Y,480316
N,Y,N,Y,480318
N,Y,N,N,490307
N,Y,N,Y,490308
N,Y,N,Y,490310
N,Y,N,Y,490312
N,Y,N,Y,490316
N,Y,N,Y,490318
N,Y,N,Y,490319
N,Y,N,Y,490324
N,Y,N,Y,490326
N,Y,N,Y,490327
N,Y,N,Y,490332
N,Y,Y,Y,490335
N,Y,N,Y,490336
N,Y,N,Y,490337
N,Y,N,Y,490338
N,Y,Y,Y,490344
N,Y,N,Y,490345
N,Y,Y,Y,490346
N,Y,Y,Y,490347
N,Y,N,Y,490348
N,Y,N,Y,490349
Y,Y,N,Y,490350
N,Y,N,Y,490352
Y,Y,Y,Y,490354
Y,Y,Y,Y,490355
N,Y,N,Y,490356
N,Y,N,Y,490360
Y,Y,Y,Y,490362
N,Y,N,Y,490363
N,Y,N,Y,490364
N,Y,N,N,490366
N,Y,N,Y,490368
N,Y,Y,Y,490380
N,Y,N,Y,490384
N,Y,N,Y,490390
N,Y,N,Y,491303
N,Y,N,Y,491306
N,Y,Y,Y,491308
Y,Y,Y,Y,491312
N,Y,N,Y,491316
N,Y,N,Y,491318
N,Y,N,Y,491320
N,Y,N,Y,49B000
N,Y,Y,Y,49E000
N,Y,N,Y,49F000
N,Y,N,Y,49G000
N,Y,N,Y,500302
N,Y,N,Y,500304
N,Y,N,Y,500314
N,Y,N,Y,500316
N,Y,N,Y,500323
N,N,N,Y,500324
N,Y,Y,Y,500332
N,Y,N,Y,500337
N,Y,Y,Y,500340
N,Y,N,Y,50A000
N,Y,N,Y,510308
N,Y,N,Y,510310
N,Y,Y,Y,510324
N,Y,N,Y,510326
N,Y,Y,Y,510327
N,Y,N,Y,510328
N,Y,N,Y,510329
N,Y,N,Y,510330
N,Y,N,Y,510332
N,Y,Y,Y,510333
N,Y,N,Y,510334
N,Y,N,Y,510336
N,Y,N,Y,510340
N,Y,N,Y,510342
N,Y,N,Y,510343
N,Y,N,Y,510344
N,Y,N,Y,510356
N,Y,N,Y,510358
N,Y,N,Y,510359
N,Y,N,Y,510360
N,Y,N,Y,510364
N,Y,N,Y,510368
N,Y,N,Y,510372
N,Y,N,Y,510373
N,Y,N,Y,510374
N,Y,N,Y,510376
N,Y,N,Y,510377
N,Y,N,Y,510378
N,Y,N,Y,510379
N,Y,N,Y,510388
N,Y,N,Y,510390
N,Y,N,Y,510396
N,Y,N,Y,510397
Y,Y,N,Y,510399
N,Y,Y,Y,510402
N,Y,N,Y,510404
Y,Y,Y,Y,510406
N,Y,N,Y,510408
N,Y,N,Y,510410
N,Y,N,Y,510411
N,Y,N,Y,510412
N,Y,N,Y,510414
N,Y,Y,Y,51A000
N,Y,N,Y,520304
N,Y,N,Y,520308
N,Y,N,Y,520320
N,Y,N,Y,520324
N,Y,N,Y,520328
N,Y,N,Y,520336
Y,Y,N,Y,530302
N,N,N,Y,530306
N,Y,N,Y,530308
N,Y,N,Y,530312
N,Y,N,Y,530314
N,Y,N,N,530316
N,Y,N,Y,530320
N,Y,N,Y,530335
N,Y,Y,Y,530336
N,Y,N,Y,530340
N,Y,N,Y,530341
N,Y,Y,Y,530343
N,Y,N,Y,530346
N,Y,N,Y,530354
N,Y,N,Y,530356
N,Y,N,Y,540304
N,Y,N,Y,540308
N,Y,N,Y,540312
N,Y,Y,Y,540315
N,Y,N,Y,540316
N,Y,N,Y,540317
N,N,N,Y,540318
N,Y,N,N,540320
N,Y,N,Y,540324
N,Y,N,Y,540325
N,Y,N,N,540326
N,Y,N,N,540328
N,Y,Y,N,540330
N,Y,N,Y,540336
N,Y,N,N,540338
N,Y,N,N,540340
N,Y,N,Y,540344
N,N,N,Y,54A000
N,N,N,Y,550308
N,Y,N,Y,550312
N,Y,N,Y,550314
N,Y,N,Y,550316
N,Y,Y,Y,550320
N,Y,N,Y,550322
N,Y,N,Y,550324
N,Y,N,Y,550328
N,Y,Y,Y,550332
N,Y,N,Y,550334
N,Y,N,Y,550336
N,Y,N,Y,550340
N,Y,N,Y,550342
N,Y,N,Y,550344
N,Y,N,Y,550348
N,Y,N,Y,550349
N,Y,N,Y,550350
N,Y,N,Y,550356
N,Y,N,Y,550360
N,Y,N,Y,550362
N,Y,N,Y,550364
N,Y,Y,Y,550368
N,Y,N,Y,550372
N,Y,Y,Y,55A000
N,Y,N,Y,560304
N,Y,N,Y,560316
N,Y,Y,Y,560320
N,Y,N,Y,560324
N,Y,N,Y,560328
N,N,N,Y,560329
N,Y,N,N,560330
N,Y,N,Y,560331
N,Y,N,Y,560332
N,Y,N,Y,560338
N,Y,N,Y,570306
N,Y,N,Y,570312
N,Y,N,Y,570317
N,Y,Y,Y,570318
Y,Y,Y,Y,570319
N,Y,N,Y,570320
N,Y,N,Y,580308
N,Y,N,Y,580312
N,Y,N,Y,580316
N,Y,N,Y,580320
N,Y,N,Y,580324
N,Y,N,Y,580344
N,Y,N,Y,580350
N,Y,N,Y,580356
N,Y,N,Y,580368
N,Y,N,Y,580372
N,Y,N,Y,58B000
N,Y,N,Y,590306
N,Y,Y,Y,590310
N,Y,N,Y,590316
N,Y,N,Y,590320
N,Y,N,Y,590328
Y,Y,Y,Y,590330
N,Y,N,Y,590332
N,Y,N,Y,590336
N,Y,N,Y,590340
N,Y,N,Y,590344
N,Y,N,Y,590352
N,Y,Y,Y,590356
N,Y,N,Y,600300
Y,Y,N,Y,600301
N,Y,Y,Y,600302
Y,Y,N,Y,600305
N,Y,N,Y,600308
Y,Y,N,Y,600311
Y,Y,Y,Y,600312
Y,Y,Y,Y,600313
N,Y,N,Y,600314
N,Y,N,Y,600316
N,Y,N,Y,600317
N,Y,N,Y,600318
N,Y,N,Y,600319
N,Y,N,Y,600322
N,Y,N,Y,600328
N,Y,N,Y,600329
N,Y,Y,Y,600333
N,N,N,Y,600334
N,Y,N,Y,600335
N,Y,N,Y,600336
N,Y,N,Y,600338
Y,Y,N,Y,600341
N,Y,N,Y,600344
Y,Y,Y,Y,600345
N,Y,N,Y,600346
N,Y,N,Y,600349
N,Y,Y,N,600351
N,Y,N,Y,600352
N,Y,Y,Y,600353
N,Y,N,Y,600357
N,Y,Y,Y,600361
N,Y,N,Y,600362
N,Y,N,Y,600364
N,Y,N,Y,600365
N,Y,Y,Y,600366
N,Y,N,Y,600367
Y,Y,Y,Y,600368
Y,Y,N,Y,600369
N,Y,N,Y,600374
N,Y,Y,Y,600377
N,Y,N,Y,600379
N,Y,Y,Y,600381
N,Y,N,Y,600382
N,Y,N,Y,600383
N,Y,N,Y,600384
N,Y,N,Y,600385
N,N,Y,N,600386
N,Y,N,Y,600392
Y,Y,N,Y,600394
Y,Y,Y,Y,600397
N,Y,N,Y,600398
N,Y,Y,Y,600399
N,Y,N,Y,600405
N,Y,N,Y,600406
N,Y,N,Y,600408
N,Y,N,Y,600409
N,Y,N,Y,600410
N,Y,N,Y,600411
N,Y,N,Y,600412
N,Y,N,Y,600413
N,Y,N,Y,600414
N,Y,Y,Y,600415
N,Y,N,Y,600416
N,Y,N,Y,600418
N,Y,N,Y,600420
N,Y,N,Y,600422
N,Y,N,Y,600424
N,Y,Y,Y,600426
N,Y,Y,Y,600428
N,Y,N,Y,600429
Y,Y,Y,Y,600431
N,Y,N,Y,600432
N,Y,N,Y,600433
N,Y,N,Y,600434
N,Y,N,Y,600435
N,Y,N,Y,600436
N,Y,N,Y,600437
N,Y,N,Y,600438
N,Y,N,Y,600440
N,Y,N,Y,600442
N,Y,N,Y,600444
Y,Y,Y,Y,600445
N,Y,N,Y,600446
N,Y,N,Y,600447
N,Y,N,Y,600448
N,Y,N,Y,600449
Y,Y,Y,Y,600450
N,Y,N,Y,600451
N,Y,N,Y,600453
N,Y,N,Y,600454
Y,Y,Y,Y,600455
N,Y,Y,Y,600457
N,Y,N,Y,600459
N,Y,N,Y,600461
Y,Y,N,Y,600462
N,Y,N,Y,600463
N,Y,N,Y,600464
Y,Y,Y,Y,600466
N,Y,N,Y,600468
N,Y,N,Y,600471
N,Y,N,Y,600474
N,Y,N,Y,600475
N,Y,N,Y,600478
N,Y,Y,Y,600479
N,Y,Y,Y,600480
N,Y,N,N,600481
Y,Y,Y,Y,600482
N,Y,N,Y,600484
N,Y,N,Y,600485
N,Y,N,Y,600488
N,Y,N,Y,600489
N,Y,N,Y,600491
N,Y,N,Y,600492
N,Y,N,Y,600493
N,Y,N,Y,600494
N,Y,N,Y,600496
N,Y,Y,Y,600497
N,N,N,Y,600498
N,Y,N,Y,600499
N,Y,N,Y,600500
N,Y,N,Y,600501
N,Y,N,Y,600503
N,Y,N,Y,600507
N,Y,Y,Y,600508
Y,Y,N,Y,600509
N,Y,N,Y,600512
Y,Y,N,Y,600513
Y,Y,Y,N,600514
N,Y,N,Y,600515
Y,Y,N,Y,600516
Y,Y,Y,Y,600517
Y,Y,Y,Y,600518
N,Y,N,Y,600519
Y,Y,N,Y,600520
N,Y,N,Y,600521
N,Y,N,Y,600522
N,Y,N,Y,600527
N,Y,N,Y,600530
Y,Y,Y,Y,600532
N,Y,N,Y,600534
N,Y,Y,Y,600535
Y,Y,Y,Y,600537
Y,Y,Y,Y,600538
N,Y,N,Y,600545
N,Y,N,Y,600546
N,Y,N,Y,600549
N,Y,N,Y,600550
N,Y,N,Y,600553
N,Y,N,Y,600557
N,Y,N,Y,600558
N,Y,N,Y,600562
Y,Y,Y,Y,600565
N,Y,N,Y,600566
N,N,Y,N,600567
N,Y,N,Y,600571
N,Y,N,Y,600574
N,Y,N,Y,600576
Y,Y,Y,Y,600577
N,Y,N,Y,600579
N,Y,Y,Y,600582
N,Y,N,Y,600586
N,Y,N,Y,600587
N,Y,N,Y,600588
N,Y,N,Y,600589
N,Y,N,Y,600590
N,Y,Y,Y,600592
Y,Y,Y,Y,600693
N,N,N,Y,600694
N,Y,N,Y,600697
N,Y,N,Y,60B000
Y,Y,Y,Y,60D000
N,Y,N,Y,60F000
Y,Y,Y,Y,60G000
Y,Y,Y,Y,60I000
N,Y,Y,Y,60J000
N,Y,N,Y,60K000
Y,Y,Y,Y,60L000
Y,Y,Y,Y,60M000
N,N,N,Y,60N000
N,Y,N,N,60P000
N,Y,N,Y,60Q000
N,Y,N,Y,60S000
Y,Y,N,Y,60V000
N,Y,N,Y,60Y000
N,Y,N,Y,610302
N,Y,N,Y,610310
N,Y,N,Y,610320
N,Y,N,Y,610322
N,Y,N,Y,610326
N,Y,N,Y,610332
N,Y,N,Y,610334
N,Y,N,N,61J000
N,Y,N,N,61K000
N,Y,Y,Y,61M000
N,Y,N,Y,61N000
N,Y,N,Y,61Q000
N,Y,N,Y,61R000
N,Y,N,Y,61S000
N,Y,N,N,61T000
N,N,Y,Y,620310
N,Y,N,Y,620312
N,Y,N,Y,620314
Y,Y,Y,Y,620316
N,Y,N,Y,620318
N,N,N,Y,620324
N,N,N,Y,620330
N,Y,N,Y,620334
N,N,N,Y,620336
N,Y,N,Y,620339
Y,Y,Y,Y,620340
N,Y,N,N,620350
N,Y,N,Y,630304
N,Y,N,Y,630308
N,Y,N,Y,630312
N,Y,N,Y,630316
N,Y,N,Y,630317
N,Y,N,Y,630320
N,Y,N,Y,630324
N,Y,N,Y,630328
N,Y,N,Y,630331
N,Y,Y,Y,630332
N,Y,Y,Y,630336
N,Y,N,Y,630342
N,Y,N,Y,630348
N,Y,N,Y,630350
N,Y,N,Y,630352
N,Y,N,Y,630356
N,Y,Y,Y,630360
N,Y,N,Y,630364
N,Y,N,Y,630368
N,Y,N,Y,630373
N,Y,N,Y,630374
N,Y,N,Y,630376
N,N,N,Y,63A000
Y,Y,Y,Y,63B000
N,Y,N,Y,640302
N,Y,N,Y,640304
N,Y,N,Y,640306
N,Y,N,Y,640308
N,Y,N,Y,640316
N,Y,N,Y,640320
N,Y,N,Y,640324
N,Y,N,Y,640326
N,Y,N,Y,640328
N,Y,N,Y,640329
N,Y,N,Y,640332
N,Y,N,Y,640334
N,Y,N,Y,640335
N,Y,N,Y,640336
N,N,N,Y,640340
Y,Y,Y,Y,640346
N,Y,N,Y,640348
N,Y,Y,Y,640350
N,Y,N,Y,640358
N,Y,N,Y,640360
N,Y,Y,Y,640361
N,Y,N,Y,640362
N,Y,Y,Y,640364
N,Y,N,Y,640376
N,Y,N,Y,640384
N,Y,N,Y,640396
N,Y,N,Y,640400
N,Y,N,Y,64A000
N,Y,N,Y,650304
N,Y,N,Y,650308
N,Y,N,Y,650309
N,Y,Y,Y,650310
N,Y,N,Y,650312
N,Y,N,Y,650316
N,Y,N,Y,650323
N,Y,N,Y,650324
N,Y,Y,Y,650325
Y,Y,Y,Y,650326
N,Y,Y,Y,650327
N,Y,N,Y,650328
N,Y,N,Y,650332
N,Y,N,Y,650338
N,Y,N,Y,650339
Y,Y,Y,Y,650340
N,Y,N,Y,650341
Y,Y,Y,Y,650342
N,Y,N,Y,650343
N,Y,N,Y,650346
N,Y,N,Y,650348
N,Y,Y,Y,650350
N,Y,Y,Y,650351
N,Y,Y,Y,650352
N,Y,N,Y,650353
N,N,N,Y,650354
N,Y,N,Y,650355
N,Y,N,Y,650356
N,Y,N,Y,650362
N,Y,Y,Y,650364
N,Y,N,Y,650366
N,Y,N,Y,650368
N,Y,N,Y,650380
Y,Y,N,Y,650384
N,Y,N,Y,650392
N,Y,Y,Y,650394
N,Y,N,Y,650400
N,Y,N,Y,650404
N,Y,N,Y,650408
N,Y,N,Y,650409
N,Y,N,Y,650420
N,Y,N,Y,65A000
N,N,N,Y,65B000
N,N,N,Y,65D000
N,Y,N,Y,65F000
Y,Y,Y,Y,65G000
N,Y,N,Y,660306
N,Y,N,N,660308
N,Y,N,Y,660320
N,Y,N,N,660325
N,Y,Y,Y,660336
N,Y,N,Y,660360
N,Y,N,Y,660400
N,Y,Y,Y,66A000
N,N,N,Y,670300
N,Y,N,Y,670304
N,Y,N,Y,670308
N,Y,N,Y,670310
N,Y,N,Y,670312
N,Y,N,Y,670314
N,Y,N,Y,670318
N,Y,N,Y,670320
N,Y,N,Y,670321
N,Y,N,Y,670322
N,Y,N,Y,670323
N,Y,N,Y,670324
N,Y,N,Y,670325
Y,Y,N,Y,670329
N,Y,N,Y,670330
N,Y,N,Y,670331
N,Y,N,Y,670332
Y,Y,N,Y,670333
N,Y,N,Y,670335
N,Y,N,Y,670336
N,Y,N,Y,670337
N,Y,N,Y,670338
N,Y,N,Y,670339
Y,Y,N,Y,670340
N,Y,N,Y,670341
N,Y,N,Y,670342
N,Y,N,Y,670343
N,Y,N,Y,670344
N,Y,N,Y,670345
N,Y,N,Y,670346
N,Y,N,Y,670347
N,Y,N,Y,670350
N,Y,N,Y,670351
N,Y,Y,Y,670352
N,Y,N,Y,670356
N,Y,N,Y,670364
N,Y,N,Y,67B000
N,Y,N,Y,680304
N,Y,N,Y,680308
N,Y,Y,Y,680310
N,Y,N,Y,680312
N,Y,N,Y,680316
N,Y,N,Y,680324
N,Y,N,Y,680327
N,Y,N,Y,680328
N,Y,N,Y,680329
N,Y,N,Y,680330
N,Y,Y,Y,680332
N,Y,N,Y,680335
N,Y,N,Y,680336
N,Y,N,Y,681300
N,Y,N,Y,681304
N,Y,Y,Y,681305
Y,Y,Y,Y,681308
N,Y,Y,Y,681309
N,Y,N,Y,681310
N,Y,N,Y,681311
N,Y,N,Y,681312
N,Y,Y,Y,681314
N,Y,N,Y,681316
N,Y,N,Y,681320
N,Y,Y,Y,681322
N,Y,N,Y,681324
N,Y,N,Y,681326
N,Y,N,Y,681330
N,Y,N,Y,681332
N,Y,N,Y,681334
N,Y,Y,Y,681336
N,Y,N,N,681338
N,Y,Y,Y,68A000
N,Y,N,Y,68C000
N,Y,N,Y,690312
N,Y,N,Y,690316
N,Y,Y,Y,690320
N,Y,N,Y,690324
N,Y,Y,Y,69A000
N,Y,N,Y,700306
N,Y,N,Y,700308
N,Y,N,Y,700314
N,Y,N,Y,700316
N,Y,Y,Y,700317
N,Y,N,Y,700318
N,Y,Y,Y,700319
N,Y,N,Y,700320
N,Y,N,Y,700322
N,Y,N,Y,700324
N,N,N,Y,700325
N,Y,N,Y,700328
N,N,N,Y,70A000
N,Y,N,Y,710312
N,Y,N,Y,710316
N,Y,N,Y,710318
N,Y,N,Y,710320
N,Y,Y,Y,710321
N,Y,N,Y,710323
N,Y,N,Y,710324
Y,Y,Y,Y,710326
N,Y,Y,Y,710327
N,Y,N,Y,710328
N,Y,N,Y,710332
N,Y,Y,Y,710342
N,Y,N,Y,710344
N,Y,N,Y,710346
N,Y,N,Y,710347
N,Y,N,Y,710348
N,Y,N,N,720304
N,Y,N,Y,720312
N,Y,Y,Y,720316
N,Y,N,N,720320
N,Y,N,Y,730332
N,Y,N,Y,730334
N,Y,N,Y,730340
N,Y,N,Y,730344
N,Y,N,Y,730348
N,Y,N,Y,730352
N,Y,N,Y,730354
N,Y,N,Y,730356
N,Y,N,Y,730360
N,Y,N,Y,730368
Y,Y,Y,Y,73B000
Y,Y,N,Y,740302
N,Y,N,Y,740304
N,Y,N,Y,740308
N,Y,Y,Y,740309
N,Y,N,Y,740310
N,Y,N,Y,740320
N,Y,N,Y,740324
N,Y,N,Y,740330
N,Y,N,Y,740332
Y,Y,Y,Y,740333
N,Y,N,Y,740334
N,Y,N,Y,740336
Y,Y,N,Y,740337
N,Y,N,Y,740338
N,Y,N,Y,740340
Y,Y,Y,Y,740344
N,Y,N,Y,740352
N,Y,N,Y,740358
N,Y,N,Y,740360
N,Y,Y,Y,740362
Y,Y,Y,Y,740366
N,Y,N,Y,740368
Y,Y,Y,Y,740374
N,Y,N,Y,740375
N,Y,N,Y,740376
N,Y,N,Y,740379
N,Y,N,Y,740380
N,Y,N,Y,740386
Y,Y,Y,Y,740388
N,Y,N,Y,740390
N,Y,N,Y,740396
N,Y,Y,Y,740400
Y,Y,N,N,740402
N,Y,N,Y,740404
N,Y,N,Y,740406
N,Y,N,Y,740500
N,Y,N,Y,74B000
N,Y,N,Y,74C000
N,Y,N,Y,750304
N,Y,N,Y,750314
N,N,N,Y,750317
N,Y,Y,Y,750318
N,Y,N,Y,750319
N,Y,N,Y,750320
N,Y,N,Y,750328
N,Y,N,Y,760304
N,Y,N,Y,760308
N,Y,N,Y,760316
Y,Y,N,Y,760318
N,Y,N,Y,760320
N,Y,N,Y,760324
N,Y,N,Y,760328
N,N,N,Y,760329
N,Y,N,Y,760330
N,Y,N,Y,760331
N,Y,N,Y,760332
N,Y,N,Y,760336
N,Y,N,Y,760338
N,Y,Y,Y,760339
N,Y,N,Y,760340
N,Y,N,Y,760344
N,Y,Y,Y,760348
N,Y,N,Y,760352
N,Y,N,N,760354
N,Y,N,Y,760356
N,Y,N,Y,760357
N,Y,Y,Y,760358
N,Y,N,Y,760359
N,Y,N,Y,760360
N,Y,N,Y,760364
N,Y,N,Y,760368
N,Y,N,Y,760376
N,Y,N,Y,760378
N,Y,Y,Y,760380
N,Y,N,Y,760382
N,Y,Y,Y,760388
N,Y,N,Y,761304
N,Y,Y,Y,761308
N,Y,N,Y,761312
N,Y,N,Y,761320
N,Y,N,Y,761321
N,Y,N,Y,761328
N,Y,N,Y,761332
N,Y,Y,Y,761336
Y,Y,Y,Y,76A000
N,Y,N,Y,770310
N,Y,N,Y,770316
N,Y,N,Y,770318
N,Y,N,Y,770328
N,Y,N,Y,770340
N,Y,N,N,770342
N,Y,N,Y,770344
N,Y,N,Y,770346
N,Y,N,Y,770348
N,Y,Y,Y,770349
N,N,N,Y,770351
N,Y,N,Y,770360
N,Y,N,Y,770364
N,Y,N,Y,770368
N,Y,N,Y,770370
N,Y,N,Y,780320
N,Y,N,Y,780322
N,Y,N,Y,780324
N,Y,Y,Y,780325
N,Y,N,Y,780326
N,Y,N,Y,780328
N,Y,N,Y,780329
N,Y,N,Y,780330
N,Y,N,Y,780336
N,Y,N,Y,780340
N,Y,N,Y,780341
Y,Y,Y,Y,780342
N,Y,N,Y,780344
N,Y,N,Y,780352
N,Y,N,Y,780356
N,Y,N,Y,780360
N,Y,N,Y,780364
N,Y,N,Y,780368
N,Y,N,Y,780374
N,Y,N,Y,780376
N,Y,N,Y,780384
N,Y,N,N,780390
N,Y,N,Y,780391
N,Y,N,Y,780392
N,Y,N,Y,780393
N,Y,N,Y,780394
N,Y,N,Y,780396
N,Y,N,Y,780398
N,Y,N,Y,780400
N,Y,N,Y,780401
N,Y,Y,Y,780402
N,Y,N,Y,780403
N,Y,N,Y,780407
N,Y,N,Y,780408
N,Y,N,Y,780410
N,Y,N,Y,780412
N,Y,N,N,780416
N,Y,N,Y,780417
N,Y,N,Y,780418
Y,Y,Y,Y,780420
N,N,N,Y,78B000
N,Y,N,Y,790302
N,Y,N,Y,790310
N,Y,Y,Y,790314
N,Y,N,Y,790318
N,Y,N,Y,790322
N,Y,N,Y,790327
N,Y,N,Y,790330
N,Y,N,Y,790334
N,Y,N,Y,790344
N,Y,N,Y,790347
N,Y,N,Y,790350
N,Y,Y,Y,790354
N,Y,N,Y,790358
N,Y,N,Y,790362
N,Y,Y,Y,790366
N,Y,N,Y,790374
N,Y,Y,Y,790378
N,Y,N,Y,790380
N,Y,N,Y,790386
N,Y,N,Y,790390
N,Y,N,Y,790392
N,Y,Y,Y,790394
N,Y,N,Y,790398
N,Y,N,Y,790402
N,Y,Y,N,79A000
N,Y,N,Y,800308
N,Y,N,Y,800312
N,Y,N,Y,800314
N,Y,N,Y,800315
N,Y,N,Y,800316
N,Y,N,Y,800320
N,Y,N,Y,800324
N,Y,N,Y,800328
N,Y,N,Y,800340
N,Y,N,Y,800346
N,Y,N,Y,800347
N,Y,N,Y,800348
N,Y,N,Y,800352
N,Y,N,Y,800356
N,Y,N,Y,800358
N,Y,N,Y,800359
N,Y,N,Y,800360
N,Y,Y,Y,800361
N,Y,N,Y,800362
N,Y,N,Y,800363
N,Y,N,Y,800364
N,Y,N,Y,800366
N,Y,N,Y,800368
N,Y,N,Y,800372
N,Y,N,Y,800373
N,Y,Y,Y,800376
N,Y,N,Y,800377
N,Y,N,Y,800392
N,N,N,Y,800394
Y,Y,Y,Y,800396
N,Y,N,Y,800398
N,Y,N,Y,800400
N,Y,N,Y,800408
N,Y,N,Y,800410
N,Y,N,Y,800412
Y,Y,Y,Y,810324
N,Y,N,Y,810326
N,Y,N,Y,810328
N,Y,N,Y,810336
Y,Y,N,Y,810340
N,Y,N,Y,810342
N,Y,N,Y,810344
N,Y,N,Y,810350
N,Y,N,Y,810360
N,Y,N,Y,810364
N,Y,N,Y,810370
N,Y,N,Y,810378
Y,Y,N,Y,810384
N,Y,N,Y,810386
N,Y,N,Y,810388
N,Y,N,Y,810396
N,Y,N,Y,810400
Y,Y,Y,Y,81A000
N,Y,Y,Y,81B000
N,Y,N,Y,820312
N,Y,N,Y,820320
N,Y,Y,Y,820324
N,Y,N,Y,820340
N,Y,N,Y,820346
N,Y,N,Y,820347
Y,Y,Y,Y,820348
Y,Y,N,Y,820349
N,Y,N,Y,820350
Y,Y,Y,Y,820352
N,Y,N,Y,820354
N,Y,N,Y,820364
N,Y,N,Y,820370
N,Y,N,Y,820372
N,Y,N,Y,820376
N,Y,N,Y,820384
N,Y,N,Y,820385
Y,Y,Y,Y,820388
N,Y,N,Y,821304
N,Y,Y,Y,821308
N,Y,N,Y,821316
N,Y,N,Y,821320
N,Y,N,Y,821330
N,Y,N,Y,830304
N,Y,N,Y,830312
N,N,N,Y,830316
N,Y,N,Y,830320
N,Y,N,Y,830328
N,Y,N,Y,830336
N,Y,Y,Y,830343
N,Y,N,Y,830349
N,Y,N,Y,830356
N,Y,N,Y,830360
N,Y,N,Y,830364
N,Y,Y,Y,840302
N,Y,N,Y,840303
N,Y,N,Y,840304
N,Y,N,Y,840308
N,Y,N,Y,840310
N,Y,N,Y,840312
N,Y,N,Y,840316
N,Y,N,Y,840320
N,Y,N,Y,840324
N,Y,N,Y,840328
N,Y,Y,Y,840332
N,Y,N,Y,840336
N,Y,N,Y,840342
N,Y,N,Y,840344
N,Y,N,Y,840350
N,Y,N,Y,840356
N,Y,N,Y,840358
N,Y,N,Y,840360
N,Y,Y,Y,840368
N,N,N,Y,840370
N,Y,N,Y,84B000
N,Y,N,Y,850304
N,Y,N,Y,850312
N,Y,N,Y,850314
N,Y,N,Y,850316
N,Y,N,Y,850320
N,N,Y,N,850324
N,Y,N,Y,850328
N,Y,N,Y,850332
N,Y,N,Y,850336
N,Y,N,Y,850338
N,Y,N,Y,850340
N,Y,N,Y,850342
N,Y,N,Y,850348
N,Y,N,Y,850350
N,Y,Y,Y,850352
N,Y,N,Y,850354
N,Y,N,Y,850356
N,Y,N,Y,850358
N,Y,N,Y,850360
N,Y,N,Y,860302
N,Y,N,Y,860306
N,Y,N,Y,860308
N,Y,N,Y,860312
N,Y,N,Y,860316
N,Y,N,Y,860320
N,Y,N,Y,860324
N,Y,N,Y,860326
N,Y,N,Y,860330
N,Y,N,Y,860332
Y,Y,Y,Y,860336
N,Y,N,Y,860339
N,Y,N,Y,860340
N,Y,N,Y,860344
N,Y,N,Y,860348
N,Y,N,Y,860352
N,Y,Y,Y,860354
N,Y,N,Y,860356
N,Y,N,Y,860360
N,Y,N,Y,861304
N,Y,N,Y,861308
N,Y,N,Y,861312
N,Y,N,Y,862308
N,Y,N,Y,862310
N,Y,Y,Y,862312
N,Y,N,Y,862316
N,Y,Y,Y,86T000
N,Y,Y,Y,870314
